,Model Name,Network type,Dimensions,Sim,Display type,Display size,OS,RAM,CPU,Main Camera
299,HTC 10 Lifestyle,GSM / HSPA / LTE,145.9 x 71.9 x 9 mm (5.74 x 2.83 x 0.35 in),Nano-SIM,"Super LCD5 capacitive touchscreen, 16M colors","5.2 inches, 74.5 cm2 (~71.1% screen-to-body ratio)","Android 6.0.1 (Marshmallow), upgradable to 7.0 (Nougat); Sense UI",32GB 3GB RAM,Octa-core (4x1.8 GHz Cortex-A72 & 4x1.2 GHz Cortex-A53),"12 MP, f/1.8, 26mm (wide), 1/2.3"", 1.55µm, Laser AF, OIS"
300,HTC 10,GSM / HSPA / LTE,145.9 x 71.9 x 9 mm (5.74 x 2.83 x 0.35 in),Nano-SIM,"Super LCD5 capacitive touchscreen, 16M colors","5.2 inches, 74.5 cm2 (~71.1% screen-to-body ratio)","Android 6.0.1 (Marshmallow), upgradable to Android 8.0 (Oreo); Sense UI","32GB 4GB RAM, 64GB 4GB RAM",Quad-core (2x2.15 GHz Kryo & 2x1.6 GHz Kryo),"12 MP, f/1.8, 26mm (wide), 1/2.3"", 1.55µm, Laser AF, OIS"
301,HTC Desire 825,GSM / HSPA / LTE,156.9 x 76.9 x 7.4 mm (6.18 x 3.03 x 0.29 in),"Single SIM (Nano-SIM) or Dual SIM (Nano-SIM, dual stand-by)","Super LCD capacitive touchscreen, 16M colors","5.5 inches, 83.4 cm2 (~69.1% screen-to-body ratio)",Android 6.0 (Marshmallow),16GB 2GB RAM,Quad-core 1.6 GHz Cortex-A7,"13 MP, f/2.2, 28mm (wide), AF"
302,HTC Desire 630,GSM / CDMA / HSPA / LTE,146.9 x 70.9 x 8.3 mm (5.78 x 2.79 x 0.33 in),"Dual SIM (Nano-SIM, dual stand-by)","Super LCD capacitive touchscreen, 16M colors","5.0 inches, 68.9 cm2 (~66.2% screen-to-body ratio)",Android 6.0 (Marshmallow),16GB 2GB RAM,Quad-core 1.6 GHz Cortex-A7,"13 MP, f/2.4, AF"
303,HTC Desire 530,GSM / HSPA / LTE,146.9 x 70.9 x 8.3 mm (5.78 x 2.79 x 0.33 in),Nano-SIM,"Super LCD capacitive touchscreen, 16M colors","5.0 inches, 68.9 cm2 (~66.2% screen-to-body ratio)",Android 6.0 (Marshmallow),16GB 1.5GB RAM,Quad-core 1.1 GHz Cortex-A7,"8 MP, f/2.4, AF"
304,HTC Desire 625,GSM / HSPA / LTE,147.3 x 71.1 x 8.4 mm (5.80 x 2.80 x 0.33 in),Nano-SIM,"Capacitive touchscreen, 16M colors","5.0 inches, 68.9 cm2 (~65.8% screen-to-body ratio)",Android 5.1 (Lollipop); Sense UI,8GB 1.5GB RAM,Quad-core 1.1 GHz Cortex-A7,"5 MP, AF"
305,HTC One X9,GSM / HSPA / LTE,153.9 x 75.9 x 8 mm (6.06 x 2.99 x 0.31 in),"Dual SIM (Nano-SIM, dual stand-by)","Super LCD capacitive touchscreen, 16M colors","5.5 inches, 83.4 cm2 (~71.4% screen-to-body ratio)",Android 6.0 (Marshmallow),32GB 3GB RAM,Octa-core 2.2 GHz Cortex-A53,"13 MP, f/2.0, 28mm (wide), AF, OIS"
306,HTC One M9s,GSM / HSPA / LTE,144.6 x 69.7 x 9.6 mm (5.69 x 2.74 x 0.38 in),Nano-SIM,"Super LCD3 capacitive touchscreen, 16M colors","5.0 inches, 68.9 cm2 (~68.4% screen-to-body ratio)",Android 5.1 (Lollipop); Sense UI 7,16GB 2GB RAM,Octa-core 2.2 GHz Cortex-A53,"13 MP, f/2.0, 28mm (wide), AF, OIS"
307,HTC Desire 828 dual sim,GSM / CDMA / HSPA / LTE,157.7 x 78.9 x 7.9 mm (6.21 x 3.11 x 0.31 in),"Dual SIM (Nano-SIM, dual stand-by)","Capacitive touchscreen, 16M colors","5.5 inches, 83.4 cm2 (~67.0% screen-to-body ratio)",Android 5.1 (Lollipop); Sense UI 6,"16GB 2GB RAM, 32GB 3GB RAM",Octa-core 1.5 GHz Cortex-A53,"13 MP, f/2.2, AF, OIS"
308,HTC Desire 728 dual sim,GSM / CDMA / HSPA / EVDO / LTE,157.9 x 77.8 x 7.9 mm (6.22 x 3.06 x 0.31 in),"Dual SIM (Nano-SIM, dual stand-by)","Super LCD2 capacitive touchscreen, 16M colors","5.5 inches, 83.4 cm2 (~67.9% screen-to-body ratio)",Android 5.1.1 (Lollipop); Sense UI,"16GB 1.5GB RAM (728G), 16GB 2GB RAM (728)",Octa-core 1.3 GHz Cortex-A53,"13 MP, f/2.2, 28mm (wide), AF"
309,HTC One E9s dual sim,GSM / HSPA / LTE,157.7 x 79.7 x 7.6 mm (6.21 x 3.14 x 0.30 in),"Dual SIM (Nano-SIM, dual stand-by)","Capacitive touchscreen, 16M colors","5.5 inches, 83.4 cm2 (~66.3% screen-to-body ratio)",Android 5 (Lollipop); Sense UI 7,16GB 2GB RAM,Octa-core 1.5 GHz Cortex-A53,"13 MP, f/2.2, 28mm (wide), AF"
310,HTC Butterfly 3,GSM / HSPA / LTE,151 x 73 x 10 mm (5.94 x 2.87 x 0.39 in),Nano-SIM,"Capacitive touchscreen, 16M colors","5.2 inches, 74.5 cm2 (~67.6% screen-to-body ratio)","Android 5.0 (Lollipop), upgradable to 6.0 (Marshmallow); Sence 7",32GB 3GB RAM,Octa-core (4x1.5 GHz Cortex-A53 & 4x2.0 GHz Cortex-A57),"20.2 MP, f/2.2, 28mm (wide), AF
Secondary depth sensor"
311,Motorola Moto G8 Play,GSM / HSPA / LTE,157.6 x 75.4 x 9 mm (6.20 x 2.97 x 0.35 in),"Hybrid Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","6.2 inches, 95.9 cm2 (~80.7% screen-to-body ratio)",Android 9.0 (Pie),32GB 2GB RAM,Octa-core (4x2.1 GHz Cortex-A73 & 4x2.0 GHz Cortex-A53),"13 MP, f/2.0, (wide), 1.25µm, PDAF
8 MP, f/2.2, 14mm (ultrawide), 1.25µm, dedicated video camera (1080p)
2 MP, f/2.2, depth sensor"
312,Motorola Moto E6 Play,GSM / HSPA / LTE,146.5 x 70.9 x 8.3 mm (5.77 x 2.79 x 0.33 in),"Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","5.5 inches, 77.0 cm2 (~74.1% screen-to-body ratio)",Android 9.0 (Pie),32GB 2GB RAM,Quad-core 1.5 GHz Cortex-A53,"13 MP, f/2.2, 1.12µm, PDAF"
313,Motorola Moto G8 Plus,GSM / HSPA / LTE,158.4 x 75.8 x 9.1 mm (6.24 x 2.98 x 0.36 in),"Single SIM (Nano-SIM) or Hybrid Dual SIM (Nano-SIM, dual stand-by)","LTPS IPS LCD capacitive touchscreen, 16M colors","6.3 inches, 99.1 cm2 (~82.5% screen-to-body ratio)",Android 9.0 (Pie),64GB 4GB RAM,Octa-core (4x2.0 GHz Kryo 260 Gold & 4x1.8 GHz Kryo 260 Silver),"48 MP, f/1.7, (wide), 1/2"", 0.8µm, PDAF, Laser AF
16 MP, f/2.2, 14mm (ultrawide), dedicated video camera (1080p)
5 MP, f/2.2, depth sensor"
314,Motorola One Macro,GSM / HSPA / LTE,157.6 x 75.4 x 9 mm (6.20 x 2.97 x 0.35 in),"Hybrid Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","6.2 inches, 96.7 cm2 (~81.3% screen-to-body ratio)",Android 9.0 (Pie),64GB 4GB RAM,Octa-core (4x2.0 GHz Cortex-A73 & 4x2.0 GHz Cortex-A53),"13 MP, f/2.0, 1/3.1"", 1.12µm, PDAF, Laser AF
2 MP, f/2.2, 1/5"", 1.75µm (dedicated macro camera)
2 MP, f/2.2, 1/5"", 1.75µm, depth sensor"
315,Motorola Moto E6 Plus,GSM / HSPA / LTE,155.6 x 73.1 x 8.6 mm (6.13 x 2.88 x 0.34 in),"Dual SIM (Nano-SIM/Micro-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","6.1 inches, 91.3 cm2 (~80.3% screen-to-body ratio)",Android 9.0 (Pie),"32GB 2GB RAM, 64GB 4GB RAM",Octa-core 2.0 GHz Cortex-A53,"13 MP, f/2.0, 1/3.1"", 1.12µm, PDAF
2 MP, depth sensor"
316,Motorola One Zoom,GSM / HSPA / LTE,158 x 75 x 8.8 mm (6.22 x 2.95 x 0.35 in),"Single SIM (Nano-SIM) or Hybrid Dual SIM (Nano-SIM, dual stand-by)","Super AMOLED capacitive touchscreen, 16M colors","6.39 inches, 100.2 cm2 (~84.6% screen-to-body ratio)",Android 9.0 (Pie),128GB 4GB RAM,Octa-core (2x2.0 GHz Kryo 460 Gold & 6x1.7 GHz Kryo 460 Silver),"48 MP, f/1.7, (wide), 1/2"", 0.8µm, PDAF, OIS
8 MP, f/2.4, (telephoto), 3x optical zoom, OIS
16 MP, f/2.2, 13mm (ultrawide)
5 MP, depth sensor"
317,Motorola One Action,GSM / CDMA / HSPA / EVDO / LTE,160.1 x 71.2 x 9.2 mm (6.30 x 2.80 x 0.36 in),"Single SIM (Nano-SIM) or Hybrid Dual SIM (Nano-SIM, dual stand-by)","LTPS IPS LCD capacitive touchscreen, 16M colors","6.3 inches, 94.0 cm2 (~82.5% screen-to-body ratio)",Android 9.0 (Pie); Android One,128GB 4GB RAM,Octa-core (4x2.2 GHz Cortex-A73 & 4x1.6 GHz Cortex-A53),"12 MP, f/1.8, 26mm (wide), 1.25µm, PDAF
16 MP, f/2.2, 14mm (ultrawide), dedicated video camera (1080p)
5 MP, depth sensor"
318,Motorola Moto E6,GSM / CDMA / HSPA / EVDO / LTE,149.7 x 72.3 x 8.6 mm (5.89 x 2.85 x 0.34 in),"Single SIM (Nano-SIM) or Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","5.5 inches, 76.5 cm2 (~70.7% screen-to-body ratio)",Android 9.0 (Pie),16GB 2GB RAM,Octa-core 1.4 GHz Cortex-A53,"13 MP, f/2.0, 1/3.1"", 1.12µm, PDAF"
319,Motorola Moto Z4,GSM / CDMA / HSPA / LTE,158 x 75 x 7.4 mm (6.22 x 2.95 x 0.29 in),"Single SIM (Nano-SIM) or Hybrid Dual SIM (Nano-SIM, dual stand-by)","OLED capacitive touchscreen, 16M colors","6.4 inches, 100.5 cm2 (~84.8% screen-to-body ratio)",Android 9.0 (Pie),128GB 4GB RAM,Octa-core (2x2.0 GHz Kryo 460 Gold & 6x1.7 GHz Kryo 460 Silver),"48 MP, f/1.7, (wide), 1/2"", 0.8µm, PDAF, OIS"
320,Motorola One Vision,GSM / HSPA / LTE,160.1 x 71.2 x 8.7 mm (6.30 x 2.80 x 0.34 in),"Single SIM (Nano-SIM) or Hybrid Dual SIM (Nano-SIM, dual stand-by)","LTPS IPS LCD capacitive touchscreen, 16M colors","6.3 inches, 94.0 cm2 (~82.5% screen-to-body ratio)",Android 9.0 (Pie); Android One,128GB 4GB RAM,Octa-core 2.2 GHz,"48 MP, f/1.7, (wide), 1/2"", 0.8µm, PDAF, OIS
5 MP, f/2.2, depth sensor"
321,Motorola Moto G7 Plus,GSM / HSPA / LTE,157 x 75.3 x 8.3 mm (6.18 x 2.96 x 0.33 in),"Single SIM (Nano-SIM) or Dual SIM (Nano-SIM, dual stand-by)","LTPS IPS LCD capacitive touchscreen, 16M colors","6.2 inches, 96.2 cm2 (~81.4% screen-to-body ratio)",Android 9.0 (Pie),64GB 4GB RAM,Octa-core 1.8 GHz Kryo 260,"16 MP, f/1.7, 1.22µm, Dual-pixel PDAF, OIS
5 MP, f/2.2, depth sensor"
322,Motorola Moto G7,GSM / HSPA / LTE,157 x 75.3 x 8 mm (6.18 x 2.96 x 0.31 in),"Single SIM (Nano-SIM) or Dual SIM (Nano-SIM, dual stand-by)","LTPS IPS LCD capacitive touchscreen, 16M colors","6.2 inches, 96.2 cm2 (~81.4% screen-to-body ratio)",Android 9.0 (Pie),64GB 4GB RAM,Octa-core (4x1.8 GHz Kryo 250 Gold & 4x1.8 GHz Kryo 250 Silver),"12 MP, f/1.8, 1.25µm, PDAF
5 MP, f/2.2, depth sensor"
323,Motorola Moto G7 Power,GSM / HSPA / LTE,159.4 x 76 x 9.3 mm (6.28 x 2.99 x 0.37 in),"Single SIM (Nano-SIM) or Dual SIM (Nano-SIM, dual stand-by)","LTPS IPS LCD capacitive touchscreen, 16M colors","6.2 inches, 94.0 cm2 (~77.6% screen-to-body ratio)",Android 9.0 (Pie),"32GB 3GB RAM, 64GB 4GB RAM",Octa-core (4x1.8 GHz Kryo 250 Gold & 4x1.8 GHz Kryo 250 Silver),"12 MP, f2.0, 1.25µm, PDAF"
324,Motorola Moto G7 Play,GSM / HSPA / LTE,147.3 x 71.5 x 8 mm (5.80 x 2.81 x 0.31 in),"Single SIM (Nano-SIM) or Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","5.7 inches, 81.4 cm2 (~77.3% screen-to-body ratio)",Android 9.0 (Pie),32GB 2GB RAM,Octa-core (4x1.8 GHz Kryo 250 Gold & 4x1.8 GHz Kryo 250 Silver),"13 MP, f/2.0, 1.12µm, PDAF"
325,Motorola One (P30 Play),GSM / HSPA / LTE,149.9 x 72.2 x 8 mm (5.90 x 2.84 x 0.31 in),"Single SIM (Nano-SIM) or Dual SIM (Nano-SIM, dual stand-by)","LTPS IPS LCD capacitive touchscreen, 16M colors","5.9 inches, 85.7 cm2 (~79.2% screen-to-body ratio)","Android 8.1 (Oreo), upgradable to Android 9.0 (Pie); Android One; ZUI 4 (China version only)",64GB 4GB RAM,Octa-core 2.0 GHz Cortex-A53,"13 MP, f/2.0, 1.12µm, PDAF
2 MP, f/2.4, 1.75µm, depth sensor"
326,Motorola One Power (P30 Note),GSM / HSPA / LTE,156 x 76 x 8.4 mm (6.14 x 2.99 x 0.33 in),"Single SIM (Nano-SIM) or Dual SIM (Nano-SIM, dual stand-by)","LTPS IPS LCD capacitive touchscreen, 16M colors","6.2 inches, 96.4 cm2 (~81.3% screen-to-body ratio)","Android 8.1 (Oreo), upgradable to Android 9.0 (Pie); Android One; ZUI 4 (China version only)","32GB 3GB RAM, 64GB 4GB RAM, 64GB 6GB RAM",Octa-core 1.8 GHz Kryo 260,"16 MP, f/1.8, 1.12µm, PDAF
5 MP, f/2.2, 1.0µm, depth sensor"
327,Motorola Moto Z3,GSM / HSPA / LTE,156.5 x 76.5 x 6.8 mm (6.16 x 3.01 x 0.27 in),"Single SIM (Nano-SIM) or Dual SIM (Nano-SIM, dual stand-by)","Super AMOLED capacitive touchscreen, 16M colors","6.01 inches, 93.2 cm2 (~77.9% screen-to-body ratio)","Android 8.1 (Oreo), upgradable to Android 9.0 (Pie)","64GB 4GB RAM, 128GB 6GB RAM",Octa-core (4x2.35 GHz Kryo & 4x1.9 GHz Kryo),"12 MP, f/2.0, 1.25µm, PDAF, Laser AF
12 MP B/W, PDAF, Laser AF"
328,Motorola Moto Z3 Play,GSM / CDMA / HSPA / EVDO / LTE,156.5 x 76.5 x 6.8 mm (6.16 x 3.01 x 0.27 in),"Single SIM (Nano-SIM) or Dual SIM (Nano-SIM, dual stand-by)","Super AMOLED capacitive touchscreen, 16M colors","6.01 inches, 93.2 cm2 (~77.9% screen-to-body ratio)","Android 8.1 (Oreo), upgradable to Android 9.0 (Pie)","32GB 4GB RAM, 64GB 4GB RAM, 128GB 6GB RAM",Octa-core 1.8 GHz Kryo 260,"12 MP, f/1.7, 1/2.55"", 1.4µm, dual pixel PDAF
5 MP, depth sensor"
329,Motorola Moto E5 Cruise,GSM / HSPA / LTE,151 x 74 x 9 mm (5.94 x 2.91 x 0.35 in),Nano-SIM,"IPS LCD capacitive touchscreen, 16M colors","5.2 inches, 74.5 cm2 (~66.7% screen-to-body ratio)",Android 8.0 (Oreo),16GB 2GB RAM,Quad-core 1.4 GHz Cortex-A53,"8 MP, f/2.0, 1.12 µm, AF"
330,Motorola Moto E5 Play Go,GSM / CDMA / HSPA / LTE,150 x 0 x 7.6 mm (5.91 x 0.0 x 0.30 in),Nano-SIM,"IPS LCD capacitive touchscreen, 16M colors","5.84 inches, 88.0 cm2",Android 8.0 Oreo (Go edition),16GB 1GB RAM,Quad-core 1.4 GHz Cortex-A53,"8 MP, f/2.0, 1.12 µm, AF"
331,Motorola Moto E5 Play,GSM / CDMA / HSPA / EVDO / LTE,151 x 74 x 9 mm (5.94 x 2.91 x 0.35 in),Nano-SIM,"IPS LCD capacitive touchscreen, 16M colors","5.2 inches, 74.5 cm2 (~66.7% screen-to-body ratio)",Android 8.0 (Oreo),16GB 2GB RAM,Quad-core 1.4 GHz Cortex-A53,"8 MP, f/2.0, 1.12 µm, AF"
332,Motorola Moto E5 Plus,GSM / CDMA / HSPA / EVDO / LTE,160.9 x 75.3 x 9.4 mm (6.33 x 2.96 x 0.37 in),"Single SIM (Nano-SIM) or Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","6.0 inches, 92.9 cm2 (~76.7% screen-to-body ratio)",Android 8.0 (Oreo),"16GB 2GB RAM, 32GB 3GB RAM",Quad-core 1.4 GHz Cortex-A53,"12 MP, f/2.0, 1.25µm, PDAF, Laser AF"
333,Motorola Moto E5,GSM / HSPA / LTE,154.4 x 72.2 x 9 mm (6.08 x 2.84 x 0.35 in),"Single SIM (Nano-SIM) or Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","5.7 inches, 83.8 cm2 (~75.2% screen-to-body ratio)",Android 8.0 (Oreo),16GB 2GB RAM,Quad-core 1.4 GHz Cortex-A53,"13 MP, f/2.0, 1.12µm, PDAF"
334,Motorola Moto G6 Play,GSM / CDMA / HSPA / EVDO / LTE,154.4 x 72.2 x 9 mm (6.08 x 2.84 x 0.35 in),"Single SIM (Nano-SIM) or Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","5.7 inches, 83.8 cm2 (~75.2% screen-to-body ratio)","Android 8.0 (Oreo), upgradable to Android 9.0 (Pie)","16GB 2GB RAM, 32GB 3GB RAM",Octa-core 1.4 GHz Cortex-A53Quad-core 1.4 GHz Cortex-A53 - USA,"13 MP, f/2.0, 1.12µm, PDAF"
335,Motorola P30,GSM / CDMA / HSPA / LTE,155.5 x 76 x 7.7 mm (6.12 x 2.99 x 0.30 in),"Single SIM (Nano-SIM) or Hybrid Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","6.2 inches, 96.9 cm2 (~82.0% screen-to-body ratio)",Android 8 (Oreo); ZUI 4,"64GB 6GB RAM, 128GB 6GB RAM",Octa-core 1.8 GHz Kryo 260,"16 MP, f/1.8, 1.25µm, PDAF
5 MP, f/2.2, depth sensor"
336,Motorola Moto G6 Plus,GSM / HSPA / LTE,160 x 75.5 x 8 mm (6.30 x 2.97 x 0.31 in),"Single SIM (Nano-SIM) or Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","5.9 inches, 89.8 cm2 (~74.4% screen-to-body ratio)","Android 8.0 (Oreo), upgradable to Android 9.0 (Pie)","64GB 4GB RAM, 64GB 6GB RAM, 128GB 4GB RAM, 128GB 6GB RAM",Octa-core 2.2 GHz Cortex-A53,"12 MP, f/1.7, dual pixel PDAF
5 MP, f/2.2, depth sensor"
337,Motorola Moto G6,GSM / CDMA / HSPA / EVDO / LTE,153.8 x 72.3 x 8.3 mm (6.06 x 2.85 x 0.33 in),"Single SIM (Nano-SIM) or Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","5.7 inches, 83.8 cm2 (~75.4% screen-to-body ratio)","Android 8.0 (Oreo), upgradable to Android 9.0 (Pie)","32GB 3GB RAM, 64GB 4GB RAM",Octa-core 1.8 GHz Cortex-A53,"12 MP, f/1.8, 1/2.55"", 1.4µm, PDAF
5 MP, f/2.2, depth sensor"
338,Motorola Moto X4,GSM / HSPA / LTE,148.4 x 73.4 x 8 mm (5.84 x 2.89 x 0.31 in),"Single SIM (Nano-SIM) or Dual SIM (Nano-SIM, dual stand-by)","LTPS IPS LCD capacitive touchscreen, 16M colors","5.2 inches, 74.5 cm2 (~68.4% screen-to-body ratio)","Android 7.1 (Nougat), upgradable to Android 9.0 (Pie); Android One","32GB 3GB RAM, 64GB 4GB RAM, 64GB 6GB RAM",Octa-core 2.2 GHz Cortex-A53,"12 MP, f/2.0, 1/2.55"", 1.4µm, dual pixel PDAF
8 MP, f/2.2, 13mm (ultrawide), 1.12µm, no AF"
339,Motorola Moto X5,GSM / HSPA / LTE,-,"Single SIM (Nano-SIM) or Dual SIM (Nano-SIM, dual stand-by)","LTPS IPS LCD capacitive touchscreen, 16M colors","5.9 inches, 89.8 cm2",Android 8.0 (Oreo); Android One,"32GB 4GB RAM, 64GB 4GB RAM",Octa-core,"12 MP, f/1.8, 1/2.55"", 1.4µm, dual pixel PDAF
8 MP, f/1.8, 1/3.2"", 1.12µm"
